LEFT,RIGHT,DIFF
-30.5953125,-18.3,12.2953125
-38.315625,-26.30625,12.009375
-44.60625,-33.16875,11.4375
-49.18125,-37.74375,11.4375
-51.1828125,-39.459375,11.7234375
-50.6109375,-38.6015625,12.009375
-47.465625,-35.1703125,12.2953125
-42.31875,-29.4515625,12.8671875
-35.45625,-22.5890625,12.8671875
-28.3078125,-15.1546875,13.153125
-21.4453125,-8.2921875,13.153125
-15.7265625,-2.5734375,13.153125
-11.1515625,1.14375,12.2953125
-8.578125,3.43125,12.009375
-7.7203125,3.7171875,11.4375
-8.578125,2.2875,10.865625
-10.5796875,0.0,10.5796875
-13.153125,-3.1453125,10.0078125
-16.0125,-6.5765625,9.4359375
-18.871875,-10.0078125,8.8640625
-21.4453125,-13.153125,8.2921875
-23.446875,-15.7265625,7.7203125
-24.8765625,-17.728125,7.1484375
-26.30625,-19.44375,6.8625
-27.1640625,-20.5875,6.5765625
-28.3078125,-21.73125,6.5765625
-29.165625,-22.875,6.290625
-30.309375,-23.7328125,6.5765625
-31.453125,-24.3046875,7.1484375
-32.3109375,-24.590625,7.7203125
-32.8828125,-24.3046875,8.578125
-32.596875,-23.446875,9.15
-32.025,-21.73125,10.29375
-30.309375,-19.44375,10.865625
-28.3078125,-16.584375,11.7234375
-25.734375,-13.4390625,12.2953125
-22.875,-10.5796875,12.2953125
-20.3015625,-8.00625,12.2953125
-18.3,-6.5765625,11.7234375
-16.8703125,-6.0046875,10.865625
-16.584375,-6.8625,9.721875
-17.15625,-8.578125,8.578125
-18.3,-11.4375,6.8625
-20.3015625,-14.86875,5.4328125
-22.303125,-18.3,4.003125
-24.01875,-21.73125,2.2875
-25.4484375,-24.01875,1.4296875
-26.0203125,-25.4484375,0.571874999999999
-25.734375,-25.4484375,0.285937499999999
-24.3046875,-24.3046875,0.0
-22.303125,-21.4453125,0.857812500000001
-19.44375,-18.0140625,1.4296875
-16.584375,-13.725,2.859375
-13.725,-9.721875,4.003125
-11.4375,-5.71875,5.71875
-10.0078125,-3.1453125,6.8625
-9.721875,-1.4296875,8.2921875
-10.865625,-1.715625,9.15
-13.4390625,-3.43125,10.0078125
-17.15625,-6.5765625,10.5796875
