LEFT,RIGHT,DIFF
-44.60625,-14.0109375,30.5953125
-41.746875,-9.721875,32.025
-39.7453125,-6.290625,33.4546875
-38.8875,-4.2890625,34.5984375
-39.7453125,-3.7171875,36.028125
-42.0328125,-5.146875,36.8859375
-46.321875,-8.578125,37.74375
-51.46875,-13.725,37.74375
-57.4734375,-20.015625,37.4578125
-63.7640625,-26.5921875,37.171875
-68.9109375,-32.8828125,36.028125
-73.2,-38.0296875,35.1703125
-75.4875,-41.4609375,34.0265625
-76.059375,-42.6046875,33.4546875
-74.6296875,-41.746875,32.8828125
-71.484375,-39.1734375,32.3109375
-66.909375,-34.884375,32.025
-62.0484375,-29.4515625,32.596875
-56.9015625,-24.01875,32.8828125
-52.040625,-18.5859375,33.4546875
-48.3234375,-14.0109375,34.3125
-45.75,-10.5796875,35.1703125
-44.60625,-8.2921875,36.3140625
-44.3203125,-7.434375,36.8859375
-45.4640625,-7.7203125,37.74375
-47.1796875,-8.8640625,38.315625
-49.18125,-10.29375,38.8875
-51.46875,-12.2953125,39.1734375
-53.4703125,-14.0109375,39.459375
-55.1859375,-15.440625,39.7453125
-56.04375,-16.584375,39.459375
-56.3296875,-16.8703125,39.459375
-55.471875,-16.584375,38.8875
-54.0421875,-15.440625,38.6015625
-51.46875,-13.725,37.74375
-48.0375,-11.1515625,36.8859375
-43.4625,-8.00625,35.45625
-38.6015625,-4.2890625,34.3125
-33.4546875,-0.571875,32.8828125
-28.3078125,3.1453125,31.453125
-23.446875,6.8625,30.309375
-19.7296875,10.0078125,29.7375
-17.4421875,12.2953125,29.7375
-16.584375,13.153125,29.7375
-18.0140625,12.2953125,30.309375
-21.159375,10.29375,31.453125
-26.30625,6.5765625,32.8828125
-32.596875,1.4296875,34.0265625
-39.459375,-3.7171875,35.7421875
-46.6078125,-9.4359375,37.171875
-52.6125,-14.86875,37.74375
-57.4734375,-18.871875,38.6015625
-60.046875,-21.159375,38.8875
-60.3328125,-21.4453125,38.8875
-58.33125,-19.7296875,38.6015625
-54.0421875,-15.7265625,38.315625
-48.3234375,-10.5796875,37.74375
-41.746875,-4.575,37.171875
-35.45625,1.14375,36.6
-30.0234375,6.0046875,36.028125
-26.5921875,9.15,35.7421875
-25.4484375,10.0078125,35.45625
-27.1640625,8.00625,35.1703125
-31.7390625,3.1453125,34.884375
-38.8875,-4.2890625,34.5984375
-48.3234375,-14.0109375,34.3125
-58.903125,-25.1625,33.740625
-69.76875,-36.3140625,33.4546875
-80.0625,-47.1796875,32.8828125
-89.2125,-56.04375,33.16875
-96.075,-62.6203125,33.4546875
-100.078125,-66.3375,33.740625
-101.5078125,-66.6234375,34.884375
-99.7921875,-63.7640625,36.028125
-95.503125,-58.0453125,37.4578125
-88.9265625,-50.0390625,38.8875
-80.634375,-40.603125,40.03125
-71.484375,-30.309375,41.175
-62.334375,-20.015625,42.31875
-53.4703125,-10.5796875,42.890625
-45.4640625,-2.5734375,42.890625
-39.1734375,3.43125,42.6046875
-34.3125,7.7203125,42.0328125
-31.1671875,10.0078125,41.175
-29.7375,10.5796875,40.3171875
-29.4515625,10.0078125,39.459375
-30.5953125,8.00625,38.6015625
-32.3109375,5.71875,38.0296875
-34.5984375,3.1453125,37.74375
-36.8859375,0.8578125,37.74375
-38.8875,-0.8578125,38.0296875
-40.603125,-2.5734375,38.0296875
-42.0328125,-3.7171875,38.315625
-42.890625,-4.2890625,38.6015625
-43.4625,-4.8609375,38.6015625
-43.4625,-4.8609375,38.6015625
-43.1765625,-5.146875,38.0296875
-42.890625,-5.4328125,37.4578125
-42.31875,-5.71875,36.6
-41.746875,-6.0046875,35.7421875
-41.175,-6.5765625,34.5984375
-40.3171875,-6.8625,33.4546875
-39.459375,-7.1484375,32.3109375
-38.315625,-7.1484375,31.1671875
-36.8859375,-6.8625,30.0234375
-35.45625,-6.290625,29.165625
-34.0265625,-5.4328125,28.59375
-32.596875,-4.8609375,27.7359375
-31.453125,-4.003125,27.45
-30.88125,-3.7171875,27.1640625
-30.5953125,-3.7171875,26.878125
-31.1671875,-4.2890625,26.878125
-32.3109375,-5.71875,26.5921875
-33.740625,-7.434375,26.30625
-35.7421875,-9.721875,26.0203125
-38.0296875,-12.2953125,25.734375
-40.03125,-14.86875,25.1625
-41.4609375,-16.8703125,24.590625
-42.6046875,-18.3,24.3046875
-42.890625,-19.1578125,23.7328125
-42.31875,-19.1578125,23.1609375
-41.4609375,-18.3,23.1609375
-39.7453125,-16.8703125,22.875
-38.0296875,-15.1546875,22.875
-36.3140625,-13.153125,23.1609375
-34.5984375,-11.4375,23.1609375
-33.740625,-10.29375,23.446875
-33.4546875,-9.721875,23.7328125
-33.740625,-9.721875,24.01875
-34.5984375,-10.29375,24.3046875
-36.028125,-11.4375,24.590625
-37.4578125,-12.8671875,24.590625
-38.8875,-14.296875,24.590625
-40.03125,-15.440625,24.590625
-40.603125,-16.2984375,24.3046875
-40.603125,-16.584375,24.01875
-40.3171875,-16.584375,23.7328125
-39.1734375,-16.0125,23.1609375
-38.0296875,-15.440625,22.5890625
-36.6,-14.86875,21.73125
-35.45625,-14.296875,21.159375
-34.3125,-14.296875,20.015625
-33.4546875,-14.5828125,18.871875
-33.16875,-15.1546875,18.0140625
-32.8828125,-16.0125,16.8703125
-33.16875,-16.584375,16.584375
-33.16875,-17.4421875,15.7265625
-33.4546875,-17.4421875,16.0125
-33.4546875,-17.15625,16.2984375
-33.16875,-16.2984375,16.8703125
-32.596875,-15.1546875,17.4421875
-32.025,-13.4390625,18.5859375
-31.453125,-11.4375,20.015625
-30.88125,-10.0078125,20.8734375
-30.88125,-8.578125,22.303125
-31.453125,-8.00625,23.446875
-32.596875,-8.2921875,24.3046875
-34.0265625,-9.4359375,24.590625
-36.028125,-11.1515625,24.8765625
-38.6015625,-13.4390625,25.1625
-40.8890625,-16.0125,24.8765625
-43.4625,-18.5859375,24.8765625
-45.75,-20.8734375,24.8765625
-47.7515625,-22.875,24.8765625
-49.18125,-24.3046875,24.8765625
-50.325,-25.1625,25.1625
-50.896875,-25.734375,25.1625
-51.1828125,-26.0203125,25.1625
-51.1828125,-26.30625,24.8765625
-51.1828125,-26.5921875,24.590625
-50.896875,-26.878125,24.01875
-50.6109375,-27.45,23.1609375
-50.325,-28.021875,22.303125
-49.753125,-28.59375,21.159375
-49.18125,-29.165625,20.015625
-48.3234375,-29.165625,19.1578125
-47.1796875,-28.59375,18.5859375
-46.0359375,-27.7359375,18.3
-45.178125,-26.5921875,18.5859375
-44.3203125,-25.1625,19.1578125
-44.3203125,-23.7328125,20.5875
-44.8921875,-22.875,22.0171875
-46.321875,-22.875,23.446875
-48.609375,-23.446875,25.1625
-52.040625,-25.4484375,26.5921875
-56.04375,-28.3078125,27.7359375
-60.3328125,-31.7390625,28.59375
-64.9078125,-35.7421875,29.165625
-68.625,-39.1734375,29.4515625
-71.1984375,-42.0328125,29.165625
-72.3421875,-43.7484375,28.59375
-71.7703125,-43.4625,28.3078125
-69.196875,-41.175,28.021875
-64.621875,-37.171875,27.45
-58.6171875,-31.7390625,26.878125
-52.040625,-25.1625,26.878125
-45.178125,-18.3,26.878125
