LEFT,RIGHT,DIFF
1.14375,11.4375,10.29375
1.14375,11.7234375,10.5796875
2.0015625,13.153125,11.1515625
2.859375,14.86875,12.009375
4.2890625,17.15625,12.8671875
5.71875,19.44375,13.725
6.8625,21.4453125,14.5828125
7.7203125,22.875,15.1546875
8.00625,23.7328125,15.7265625
7.7203125,24.01875,16.2984375
6.5765625,23.1609375,16.584375
5.146875,21.73125,16.584375
3.1453125,20.015625,16.8703125
1.14375,18.0140625,16.8703125
-0.571875,16.2984375,16.8703125
-2.2875,14.86875,17.15625
-3.1453125,14.296875,17.4421875
-3.1453125,14.5828125,17.728125
-2.0015625,15.7265625,17.728125
-0.2859375,18.0140625,18.3
2.0015625,20.8734375,18.871875
5.146875,24.3046875,19.1578125
8.2921875,27.7359375,19.44375
11.1515625,31.1671875,20.015625
13.153125,34.3125,21.159375
14.5828125,36.3140625,21.73125
14.86875,37.74375,22.875
14.0109375,37.74375,23.7328125
12.009375,36.6,24.590625
9.15,34.5984375,25.4484375
5.71875,31.453125,25.734375
2.0015625,27.7359375,25.734375
-1.4296875,23.7328125,25.1625
-4.8609375,19.44375,24.3046875
-7.434375,15.440625,22.875
-9.4359375,12.009375,21.4453125
-10.5796875,9.15,19.7296875
-10.865625,7.434375,18.3
-10.29375,6.5765625,16.8703125
-9.15,6.8625,16.0125
-7.434375,8.2921875,15.7265625
-5.4328125,10.5796875,16.0125
-3.1453125,13.4390625,16.584375
-0.571875,17.15625,17.728125
1.715625,20.5875,18.871875
4.003125,24.01875,20.015625
6.290625,27.1640625,20.8734375
8.00625,29.165625,21.159375
9.4359375,30.5953125,21.159375
10.0078125,30.88125,20.8734375
10.0078125,30.0234375,20.015625
9.15,28.3078125,19.1578125
7.7203125,25.734375,18.0140625
5.4328125,22.5890625,17.15625
2.5734375,19.1578125,16.584375
-0.2859375,15.440625,15.7265625
-3.7171875,12.2953125,16.0125
-7.1484375,9.15,16.2984375
-10.29375,6.5765625,16.8703125
-13.153125,4.575,17.728125
-15.440625,3.1453125,18.5859375
-17.15625,2.0015625,19.1578125
