LEFT,RIGHT,DIFF
-1000.4953125,-1005.35625,-4.86093749999998
-1003.06875,-1007.64375,-4.57500000000005
-1005.0703125,-1009.0734375,-4.00312500000007
-1006.7859375,-1009.359375,-2.57343749999995
-1007.3578125,-1009.0734375,-1.71562500000005
-1007.64375,-1008.215625,-0.571874999999977
-1007.3578125,-1006.7859375,0.571874999999977
-1006.7859375,-1005.35625,1.4296875
-1005.928125,-1004.2125,1.71562499999993
-1005.35625,-1003.3546875,2.00156249999998
-1004.784375,-1003.3546875,1.4296875
-1004.784375,-1003.9265625,0.857812500000023
-1004.784375,-1005.0703125,-0.285937499999932
-1005.0703125,-1006.2140625,-1.14375000000007
-1005.35625,-1007.3578125,-2.00156249999998
-1005.35625,-1008.215625,-2.859375
-1005.0703125,-1008.5015625,-3.43125000000009
-1004.2125,-1007.9296875,-3.71718749999991
-1002.7828125,-1006.7859375,-4.00312499999995
-1000.78125,-1005.0703125,-4.2890625
-998.49375,-1003.06875,-4.57499999999993
-996.20625,-1000.78125,-4.57499999999993
-993.91875,-998.7796875,-4.86093749999998
-991.63125,-997.35,-5.71875
-990.2015625,-996.20625,-6.00468750000005
-989.0578125,-995.9203125,-6.86249999999995
-988.771875,-995.9203125,-7.1484375
-988.4859375,-996.4921875,-8.00624999999991
-988.771875,-997.0640625,-8.29218750000007
-989.34375,-997.6359375,-8.29218750000007
-989.6296875,-997.6359375,-8.00625000000002
-989.6296875,-997.6359375,-8.00625000000002
-989.6296875,-996.778125,-7.1484375
-989.34375,-995.634375,-6.29062500000009
-988.771875,-994.2046875,-5.43281250000007
-988.2,-992.775,-4.57500000000005
-987.9140625,-991.63125,-3.71718750000002
-988.2,-991.059375,-2.859375
-988.4859375,-991.059375,-2.57343749999995
-989.6296875,-991.63125,-2.00156249999998
-991.059375,-993.0609375,-2.00156249999998
-992.775,-994.7765625,-2.00156249999998
-994.7765625,-997.0640625,-2.28750000000002
-996.778125,-999.3515625,-2.57343749999995
-998.7796875,-1001.353125,-2.57343750000007
-1000.209375,-1003.06875,-2.859375
-1001.353125,-1003.9265625,-2.57343749999995
-1001.925,-1004.2125,-2.28750000000002
-1001.925,-1003.9265625,-2.00156249999998
-1001.925,-1003.06875,-1.14374999999995
-1001.353125,-1001.925,-0.571874999999977
-1000.78125,-1000.78125,0.0
-1000.4953125,-999.3515625,1.14375000000007
-1000.209375,-998.49375,1.71562499999993
-1000.209375,-997.921875,2.28750000000002
-1000.209375,-997.6359375,2.57343749999995
-1000.4953125,-997.921875,2.57343750000007
-1000.78125,-998.49375,2.28749999999991
-1001.0671875,-999.065625,2.00156249999998
-1001.0671875,-999.9234375,1.14374999999995
-1000.78125,-1000.78125,0.0
-1000.4953125,-1001.353125,-0.857812500000023
-999.9234375,-1001.925,-2.00156249999998
-999.3515625,-1002.2109375,-2.859375
-998.7796875,-1002.7828125,-4.00312500000007
-998.49375,-1003.06875,-4.57499999999993
-998.7796875,-1003.640625,-4.86093749999998
-999.3515625,-1004.784375,-5.43281250000007
-1000.4953125,-1005.928125,-5.43281249999995
-1002.496875,-1007.3578125,-4.86093749999998
-1004.784375,-1009.6453125,-4.86093749999998
-1007.64375,-1012.21875,-4.57499999999993
-1011.075,-1015.078125,-4.00312499999995
-1014.50625,-1018.509375,-4.00312500000007
-1017.9375,-1022.2265625,-4.2890625
-1021.36875,-1025.94375,-4.57500000000005
-1024.228125,-1029.946875,-5.71875
-1027.0875,-1033.95,-6.86249999999995
