LEFT,RIGHT,DIFF
-557.8640625,-576.7359375,-18.8718749999999
-560.7234375,-579.0234375,-18.3
-563.5828125,-581.3109375,-17.728125
-566.4421875,-583.3125,-16.8703125
-568.44375,-585.028125,-16.584375
-569.5875,-585.6,-16.0125
-569.8734375,-584.7421875,-14.86875
-568.7296875,-583.0265625,-14.296875
-566.15625,-579.5953125,-13.4390625
-562.4390625,-575.30625,-12.8671875
-557.8640625,-569.8734375,-12.009375
-552.43125,-564.1546875,-11.7234375
-546.9984375,-558.721875,-11.7234375
-541.565625,-553.8609375,-12.2953124999999
-537.2765625,-550.14375,-12.8671875
-534.13125,-548.1421875,-14.0109375
-532.7015625,-547.85625,-15.1546875
-532.7015625,-549.2859375,-16.584375
-534.13125,-552.43125,-18.3
-536.7046875,-556.434375,-19.7296875000001
-540.1359375,-561.2953125,-21.159375
-543.5671875,-565.8703125,-22.303125
-546.9984375,-570.159375,-23.1609375
-549.2859375,-573.590625,-24.3046875
-551.0015625,-575.878125,-24.8765625000001
-551.2875,-577.021875,-25.734375
-551.0015625,-577.3078125,-26.3062500000001
-550.14375,-577.021875,-26.878125
-549.0,-576.45,-27.45
-548.428125,-576.45,-28.021875
-548.7140625,-576.7359375,-28.0218749999999
-549.8578125,-578.165625,-28.3078125
-552.43125,-580.453125,-28.021875
-555.8625,-583.3125,-27.4499999999999
-560.1515625,-586.74375,-26.5921874999999
-564.440625,-589.8890625,-25.4484375
-568.44375,-592.1765625,-23.7328125
-571.5890625,-593.60625,-22.0171875
-573.3046875,-593.3203125,-20.015625
-573.3046875,-591.6046875,-18.3000000000001
-571.5890625,-587.8875,-16.2984375
-568.1578125,-583.3125,-15.1546875
-563.86875,-577.8796875,-14.0109375000001
-559.0078125,-572.446875,-13.4390625
-554.146875,-567.3,-13.153125
-550.14375,-563.296875,-13.1531249999999
-547.5703125,-561.009375,-13.4390625
-546.140625,-560.4375,-14.296875
-546.7125,-561.2953125,-14.5828125
-548.428125,-563.86875,-15.440625
-551.2875,-567.0140625,-15.7265625
-554.71875,-570.73125,-16.0125
-558.15,-574.1625,-16.0125
-560.7234375,-576.7359375,-16.0124999999999
-562.725,-577.8796875,-15.1546875
-563.296875,-577.8796875,-14.5828125
-563.0109375,-576.7359375,-13.7249999999999
-561.8671875,-574.734375,-12.8671875
-559.865625,-571.875,-12.009375
-557.8640625,-569.015625,-11.1515625
-556.1484375,-566.4421875,-10.29375
-555.290625,-565.0125,-9.72187500000007
-555.0046875,-564.440625,-9.43593750000002
-555.5765625,-565.0125,-9.43593750000002
-556.7203125,-566.728125,-10.0078125
-558.4359375,-569.015625,-10.5796875
-560.1515625,-571.5890625,-11.4375
-561.2953125,-574.4484375,-13.153125
-562.153125,-576.45,-14.296875
-562.4390625,-577.59375,-15.1546875
-561.58125,-577.8796875,-16.2984375
-560.1515625,-577.3078125,-17.15625
-557.8640625,-576.1640625,-18.3
-555.8625,-574.1625,-18.3
-553.575,-572.1609375,-18.5859375
-551.859375,-570.73125,-18.871875
-551.0015625,-569.5875,-18.5859375
-550.715625,-569.3015625,-18.5859375
-551.2875,-569.8734375,-18.5859375
-552.7171875,-571.303125,-18.5859375
-554.4328125,-573.01875,-18.5859375
-556.434375,-575.30625,-18.8718749999999
-558.15,-577.3078125,-19.1578125000001
-559.5796875,-578.7375,-19.1578125000001
-560.7234375,-579.5953125,-18.8718749999999
-561.009375,-579.309375,-18.3000000000001
-560.7234375,-578.4515625,-17.728125
-559.865625,-576.7359375,-16.8703125
-558.4359375,-574.4484375,-16.0125
-556.7203125,-571.5890625,-14.8687500000001
-555.0046875,-569.015625,-14.0109375
-553.003125,-566.4421875,-13.4390625
-551.2875,-564.440625,-13.153125
-549.2859375,-563.0109375,-13.725
-547.5703125,-562.153125,-14.5828125
-546.140625,-561.8671875,-15.7265625
-544.425,-561.8671875,-17.4421874999999
-542.9953125,-562.153125,-19.1578125
-541.8515625,-562.725,-20.8734375
-540.7078125,-563.296875,-22.5890625
-539.5640625,-563.5828125,-24.0187500000001
-539.278125,-563.5828125,-24.3046875
-538.9921875,-563.296875,-24.3046875
-539.278125,-563.0109375,-23.7328125
-539.85,-562.4390625,-22.5890625
-540.99375,-562.153125,-21.1593750000001
-542.4234375,-561.58125,-19.1578125000001
-543.853125,-561.2953125,-17.4421875
-545.2828125,-561.2953125,-16.0125
-546.7125,-561.2953125,-14.5828125
-547.85625,-561.58125,-13.725
-548.7140625,-561.58125,-12.8671875
-549.2859375,-561.8671875,-12.58125
-549.2859375,-562.153125,-12.8671875
-549.0,-562.153125,-13.153125
-548.7140625,-562.4390625,-13.7249999999999
-548.1421875,-562.4390625,-14.296875
-547.5703125,-562.725,-15.1546875
-546.9984375,-563.296875,-16.2984375
-546.4265625,-563.86875,-17.4421874999999
-546.140625,-564.7265625,-18.5859375
-545.8546875,-565.584375,-19.7296875
-545.8546875,-567.0140625,-21.159375
-545.56875,-568.1578125,-22.5890625
-545.56875,-569.5875,-24.01875
-545.56875,-570.73125,-25.1625
-545.2828125,-571.875,-26.5921875
-544.996875,-573.01875,-28.021875
-544.425,-573.590625,-29.165625
-543.853125,-574.1625,-30.309375
-543.5671875,-574.1625,-30.5953125
-543.28125,-574.4484375,-31.1671875000001
-542.9953125,-574.4484375,-31.453125
-543.28125,-574.734375,-31.453125
-543.5671875,-574.734375,-31.1671875
-544.1390625,-575.0203125,-30.88125
-544.7109375,-575.30625,-30.5953125
-545.56875,-575.30625,-29.7375
-546.140625,-575.30625,-29.165625
-546.7125,-575.0203125,-28.3078125000001
-546.7125,-574.1625,-27.45
-546.140625,-572.7328125,-26.5921875
-545.2828125,-571.0171875,-25.734375
-543.853125,-568.7296875,-24.8765625000001
-541.8515625,-566.15625,-24.3046875
-539.5640625,-563.296875,-23.7328125
-536.990625,-560.7234375,-23.7328125
-534.703125,-558.721875,-24.0187500000001
-532.9875,-557.578125,-24.5906249999999
-532.415625,-557.578125,-25.1625
-532.9875,-559.0078125,-26.0203124999999
-535.275,-562.153125,-26.8781250000001
-539.278125,-566.728125,-27.4499999999999
-545.2828125,-573.3046875,-28.021875
