LEFT,RIGHT,DIFF
-95.2171875,-98.934375,-3.71718749999999
-94.93125,-97.21875,-2.28749999999999
-94.359375,-95.2171875,-0.857812500000009
-93.5015625,-93.215625,0.285937500000003
-92.9296875,-92.3578125,0.571874999999991
-92.3578125,-92.071875,0.285937500000003
-92.3578125,-93.215625,-0.857812499999994
-92.9296875,-95.503125,-2.5734375
-94.0734375,-98.3625,-4.2890625
-95.503125,-101.79375,-6.29062500000001
-96.9328125,-104.9390625,-8.00625000000001
-98.3625,-107.7984375,-9.43593750000001
-99.50625,-109.8,-10.29375
-100.3640625,-110.94375,-10.5796875
-100.65,-111.2296875,-10.5796875
-100.65,-110.6578125,-10.0078125
-100.3640625,-109.5140625,-9.15000000000001
-99.7921875,-108.3703125,-8.578125
-99.2203125,-107.2265625,-8.00624999999999
-98.6484375,-106.6546875,-8.00625000000001
-98.3625,-106.6546875,-8.29218750000001
-98.0765625,-107.2265625,-9.14999999999999
-98.0765625,-108.084375,-10.0078125
-98.3625,-109.228125,-10.865625
-98.3625,-110.371875,-12.009375
-98.3625,-111.515625,-13.153125
-98.3625,-112.0875,-13.725
-97.790625,-112.0875,-14.296875
-97.5046875,-111.515625,-14.0109375
-96.9328125,-110.6578125,-13.725
-96.3609375,-109.5140625,-13.153125
-96.075,-108.3703125,-12.2953125
-96.075,-107.5125,-11.4375
-96.075,-106.940625,-10.865625
-96.3609375,-106.6546875,-10.29375
-96.9328125,-106.6546875,-9.72187500000001
-97.5046875,-106.940625,-9.43593749999999
-98.0765625,-107.5125,-9.43593749999999
-98.3625,-107.7984375,-9.43593750000001
-98.6484375,-107.7984375,-9.15000000000001
-98.3625,-107.5125,-9.15000000000001
-98.0765625,-107.2265625,-9.14999999999999
-97.21875,-106.6546875,-9.43593750000001
-96.646875,-106.0828125,-9.43593749999999
-95.7890625,-105.5109375,-9.721875
-95.2171875,-105.796875,-10.5796875
-94.6453125,-106.0828125,-11.4375
-94.0734375,-106.940625,-12.8671875
-94.0734375,-108.3703125,-14.296875
-93.7875,-109.8,-16.0125
-93.5015625,-111.2296875,-17.728125
-92.9296875,-112.3734375,-19.44375
-92.071875,-112.659375,-20.5875
-90.928125,-112.3734375,-21.4453125
-89.4984375,-110.94375,-21.4453125
-87.7828125,-108.9421875,-21.159375
-85.78125,-106.0828125,-20.3015625
-83.7796875,-103.2234375,-19.44375
-82.0640625,-100.078125,-18.0140625
-80.634375,-97.21875,-16.584375
-79.7765625,-95.2171875,-15.440625
-79.490625,-93.7875,-14.296875
-79.7765625,-93.5015625,-13.725
-80.3484375,-93.7875,-13.4390625
-81.4921875,-94.93125,-13.4390625
-82.921875,-96.3609375,-13.4390625
-84.065625,-97.790625,-13.725
-85.209375,-98.6484375,-13.4390625
-85.78125,-99.2203125,-13.4390625
-86.0671875,-99.2203125,-13.153125
-86.0671875,-98.3625,-12.2953125
-85.4953125,-96.9328125,-11.4375
-84.6375,-94.93125,-10.29375
-83.7796875,-92.64375,-8.86406249999999
-82.921875,-90.6421875,-7.72031250000001
-82.0640625,-88.9265625,-6.8625
-81.4921875,-87.7828125,-6.29062500000001
-81.4921875,-87.2109375,-5.71875
-81.4921875,-87.2109375,-5.71875
-81.4921875,-87.7828125,-6.29062500000001
-81.778125,-88.3546875,-6.57656249999999
-82.0640625,-89.4984375,-7.434375
-82.0640625,-90.0703125,-8.00624999999999
-82.0640625,-90.35625,-8.2921875
-81.4921875,-90.0703125,-8.578125
-80.9203125,-89.2125,-8.2921875
-80.0625,-87.7828125,-7.72031250000001
-79.2046875,-86.0671875,-6.8625
-78.0609375,-83.7796875,-5.71875
-77.203125,-81.778125,-4.575
-76.3453125,-80.0625,-3.71718749999999
-75.4875,-78.6328125,-3.1453125
-75.2015625,-77.775,-2.5734375
-75.2015625,-77.4890625,-2.28749999999999
-75.2015625,-77.775,-2.5734375
-75.4875,-78.6328125,-3.1453125
-75.7734375,-80.0625,-4.2890625
-76.3453125,-81.4921875,-5.14687499999999
-76.63125,-82.921875,-6.29062499999999
-76.63125,-84.3515625,-7.72031249999999
-76.63125,-85.209375,-8.578125
-76.3453125,-85.4953125,-9.14999999999999
-75.7734375,-84.9234375,-9.15000000000001
-74.6296875,-84.065625,-9.43593749999999
-72.9140625,-82.0640625,-9.15000000000001
-71.1984375,-79.7765625,-8.578125
-68.9109375,-76.9171875,-8.00624999999999
-66.6234375,-73.4859375,-6.8625
-64.3359375,-70.340625,-6.0046875
-62.334375,-67.1953125,-4.8609375
-60.61875,-64.621875,-4.003125
-59.7609375,-62.90625,-3.1453125
-60.046875,-62.334375,-2.2875
-61.4765625,-63.1921875,-1.715625
-64.05,-65.765625,-1.715625
-68.3390625,-70.0546875,-1.715625
-73.771875,-76.3453125,-2.5734375
-80.634375,-83.7796875,-3.1453125
-88.3546875,-92.9296875,-4.575
-96.9328125,-102.9375,-6.0046875
-105.5109375,-113.23125,-7.72031250000001
-113.803125,-123.525,-9.721875
-121.5234375,-132.9609375,-11.4375
-128.1,-141.253125,-13.153125
-133.5328125,-148.115625,-14.5828125
-137.5359375,-152.9765625,-15.440625
-139.8234375,-155.8359375,-16.0125
-140.68125,-156.9796875,-16.2984375
-140.3953125,-156.121875,-15.7265625
-138.6796875,-153.5484375,-14.86875
-135.8203125,-150.1171875,-14.296875
-132.3890625,-145.5421875,-13.153125
-128.3859375,-140.9671875,-12.58125
-123.8109375,-135.8203125,-12.009375
-118.95,-131.2453125,-12.2953125
-114.0890625,-126.6703125,-12.58125
-108.9421875,-122.6671875,-13.725
-104.08125,-118.95,-14.86875
-99.50625,-115.51875,-16.0125
-94.93125,-112.3734375,-17.4421875
-90.6421875,-109.5140625,-18.871875
-86.925,-106.6546875,-19.7296875
-83.7796875,-103.7953125,-20.015625
-81.20625,-101.221875,-20.015625
-79.2046875,-98.934375,-19.7296875
-78.0609375,-96.9328125,-18.871875
