LEFT,RIGHT,DIFF
-51.7546875,-60.046875,-8.2921875
-55.471875,-63.478125,-8.00625
-58.903125,-66.909375,-8.00624999999999
-62.334375,-70.340625,-8.00625
-64.9078125,-73.2,-8.2921875
-67.1953125,-75.4875,-8.2921875
-68.625,-77.203125,-8.578125
-69.4828125,-78.0609375,-8.578125
-69.4828125,-78.346875,-8.86406249999999
-69.196875,-77.775,-8.578125
-68.3390625,-76.63125,-8.29218750000001
-67.1953125,-74.915625,-7.72031250000001
-65.4796875,-72.9140625,-7.434375
-63.7640625,-70.6265625,-6.8625
-61.7625,-68.3390625,-6.57656249999999
-59.7609375,-66.3375,-6.5765625
-58.0453125,-64.9078125,-6.8625
-56.3296875,-63.7640625,-7.434375
-54.9,-63.1921875,-8.2921875
-54.0421875,-62.90625,-8.8640625
-53.4703125,-63.1921875,-9.721875
-53.184375,-63.478125,-10.29375
-53.4703125,-63.7640625,-10.29375
-53.75625,-63.7640625,-10.0078125
-54.328125,-63.478125,-9.15000000000001
-54.6140625,-62.90625,-8.2921875
-54.6140625,-61.4765625,-6.8625
-54.328125,-59.475,-5.146875
-53.184375,-57.1875,-4.003125
-51.7546875,-54.328125,-2.5734375
-49.753125,-51.7546875,-2.0015625
-47.7515625,-49.18125,-1.4296875
-45.178125,-46.89375,-1.715625
-42.890625,-45.178125,-2.2875
-40.8890625,-44.3203125,-3.43125
-39.1734375,-44.034375,-4.86093750000001
-38.315625,-44.60625,-6.290625
-37.74375,-45.4640625,-7.72031250000001
-38.0296875,-46.89375,-8.8640625
-38.8875,-48.609375,-9.721875
-40.03125,-50.0390625,-10.0078125
-41.4609375,-51.46875,-10.0078125
-42.6046875,-52.6125,-10.0078125
-43.7484375,-53.4703125,-9.721875
-44.3203125,-53.4703125,-9.15
-44.60625,-53.4703125,-8.8640625
-44.3203125,-52.8984375,-8.578125
-43.7484375,-52.3265625,-8.578125
-42.6046875,-51.46875,-8.8640625
-41.746875,-50.896875,-9.15
-40.603125,-50.325,-9.721875
-39.7453125,-50.325,-10.5796875
-39.459375,-50.6109375,-11.1515625
-39.459375,-51.46875,-12.009375
-40.603125,-53.184375,-12.58125
-42.31875,-55.7578125,-13.4390625
-45.178125,-59.475,-14.296875
-49.18125,-64.3359375,-15.1546875
-54.6140625,-70.340625,-15.7265625
-61.190625,-77.775,-16.584375
-69.196875,-86.0671875,-16.8703125
-78.0609375,-95.2171875,-17.15625
-87.7828125,-105.225,-17.4421875
-98.0765625,-115.2328125,-17.15625
-108.3703125,-124.9546875,-16.584375
-117.80625,-133.5328125,-15.7265625
-126.384375,-140.68125,-14.296875
-132.9609375,-145.5421875,-12.58125
-137.821875,-148.115625,-10.29375
-140.109375,-148.115625,-8.00624999999999
-139.8234375,-145.25625,-5.43281249999998
-136.9640625,-140.3953125,-3.43125000000001
-132.103125,-133.246875,-1.14375000000001
-125.5265625,-125.240625,0.285937500000003
-118.0921875,-116.3765625,1.715625
-109.8,-107.7984375,2.00156250000001
-102.0796875,-100.078125,2.00156250000001
-94.93125,-93.5015625,1.4296875
-88.9265625,-88.640625,0.285937500000003
-84.3515625,-85.209375,-0.857812500000009
-81.4921875,-83.49375,-2.00156250000001
-79.7765625,-82.921875,-3.1453125
-79.2046875,-83.2078125,-4.003125
-79.490625,-84.065625,-4.57499999999999
-80.0625,-85.209375,-5.14687500000001
-80.9203125,-86.353125,-5.4328125
-81.4921875,-87.2109375,-5.71875
-81.778125,-87.7828125,-6.0046875
-82.0640625,-88.06875,-6.0046875
-81.778125,-88.640625,-6.8625
-81.778125,-88.9265625,-7.1484375
-81.4921875,-89.4984375,-8.00625000000001
-81.4921875,-89.784375,-8.2921875
-81.20625,-90.35625,-9.15000000000001
-81.20625,-90.35625,-9.15000000000001
-80.9203125,-89.784375,-8.86406249999999
-80.3484375,-88.640625,-8.2921875
-79.2046875,-86.353125,-7.1484375
-77.4890625,-83.49375,-6.0046875
-74.915625,-79.7765625,-4.86093749999999
-71.7703125,-75.7734375,-4.003125
-68.3390625,-71.7703125,-3.43125000000001
-64.621875,-68.053125,-3.43125000000001
-61.4765625,-65.4796875,-4.003125
-58.6171875,-63.7640625,-5.146875
-56.615625,-63.7640625,-7.1484375
-55.471875,-65.19375,-9.721875
-55.471875,-67.48125,-12.009375
-55.7578125,-70.6265625,-14.86875
-56.615625,-73.771875,-17.15625
-57.4734375,-76.059375,-18.5859375
-57.759375,-77.4890625,-19.7296875
-57.4734375,-77.203125,-19.7296875
-56.04375,-75.2015625,-19.1578125
-53.75625,-71.7703125,-18.0140625
-50.896875,-66.909375,-16.0125
-47.7515625,-61.190625,-13.4390625
-44.60625,-55.7578125,-11.1515625
-42.0328125,-50.896875,-8.8640625
-40.603125,-47.465625,-6.8625
-40.603125,-46.0359375,-5.4328125
-42.31875,-46.6078125,-4.2890625
-45.178125,-48.8953125,-3.7171875
-49.4671875,-53.184375,-3.7171875
-54.328125,-58.33125,-4.003125
-59.475,-64.05,-4.575
-64.05,-69.196875,-5.14687500000001
-67.48125,-73.771875,-6.29062500000001
-69.76875,-77.203125,-7.434375
-70.9125,-79.490625,-8.578125
-70.340625,-80.0625,-9.721875
-69.196875,-79.7765625,-10.5796875
-67.1953125,-78.91875,-11.7234375
-65.4796875,-77.4890625,-12.009375
-64.05,-76.3453125,-12.2953125
-63.478125,-75.7734375,-12.2953125
-63.7640625,-75.4875,-11.7234375
-64.9078125,-75.7734375,-10.865625
-66.909375,-76.63125,-9.72187500000001
-69.4828125,-77.4890625,-8.00624999999999
-71.7703125,-78.0609375,-6.29062500000001
-73.771875,-78.6328125,-4.86093749999999
-74.915625,-78.6328125,-3.71718749999999
-75.2015625,-78.0609375,-2.859375
-74.6296875,-77.203125,-2.5734375
-73.2,-76.3453125,-3.1453125
-71.1984375,-75.7734375,-4.575
-69.196875,-75.7734375,-6.57656249999999
-67.7671875,-76.63125,-8.8640625
-66.6234375,-78.0609375,-11.4375
-66.3375,-80.3484375,-14.0109375
-66.909375,-82.921875,-16.0125
-68.3390625,-85.78125,-17.4421875
-70.0546875,-88.640625,-18.5859375
-71.7703125,-90.35625,-18.5859375
-73.2,-91.5,-18.3
-74.0578125,-91.2140625,-17.15625
-74.0578125,-89.784375,-15.7265625
-73.2,-87.2109375,-14.0109375
-71.484375,-83.7796875,-12.2953125
-69.4828125,-80.3484375,-10.865625
-66.909375,-76.9171875,-10.0078125
-64.9078125,-73.771875,-8.8640625
-62.90625,-71.7703125,-8.8640625
-61.7625,-70.9125,-9.15000000000001
-61.4765625,-70.9125,-9.43593750000001
-61.7625,-72.05625,-10.29375
-62.334375,-73.4859375,-11.1515625
-63.1921875,-75.2015625,-12.009375
-64.05,-76.63125,-12.58125
-64.3359375,-77.775,-13.4390625
-63.7640625,-77.775,-14.0109375
-62.6203125,-77.203125,-14.5828125
-60.9046875,-75.7734375,-14.86875
-58.33125,-73.4859375,-15.1546875
-55.471875,-70.9125,-15.440625
-52.6125,-68.3390625,-15.7265625
-50.325,-65.765625,-15.440625
-48.3234375,-64.05,-15.7265625
-47.1796875,-62.90625,-15.7265625
-47.1796875,-62.334375,-15.1546875
-47.7515625,-62.6203125,-14.86875
-49.18125,-63.7640625,-14.5828125
-51.1828125,-65.19375,-14.0109375
