LEFT,RIGHT,DIFF
-78.346875,-99.50625,-21.159375
-79.490625,-100.9359375,-21.4453125
-80.9203125,-102.0796875,-21.159375
-82.35,-102.9375,-20.5875
-83.7796875,-103.509375,-19.7296875
-84.9234375,-103.7953125,-18.871875
-85.4953125,-103.7953125,-18.3
-85.78125,-103.509375,-17.728125
-85.4953125,-102.6515625,-17.15625
-84.6375,-101.5078125,-16.8703125
-83.49375,-99.7921875,-16.2984375
-81.4921875,-97.5046875,-16.0125
-79.490625,-95.2171875,-15.7265625
-77.4890625,-92.9296875,-15.440625
-75.4875,-90.6421875,-15.1546875
-74.0578125,-88.640625,-14.5828125
-72.628125,-87.496875,-14.86875
-71.7703125,-86.6390625,-14.86875
-71.484375,-86.6390625,-15.1546875
-71.7703125,-86.925,-15.1546875
-72.05625,-87.7828125,-15.7265625
-72.9140625,-88.640625,-15.7265625
-73.771875,-89.784375,-16.0125
-74.6296875,-90.35625,-15.7265625
-75.2015625,-90.928125,-15.7265625
-75.7734375,-90.928125,-15.1546875
-76.059375,-90.6421875,-14.5828125
-76.3453125,-89.784375,-13.4390625
-76.059375,-88.9265625,-12.8671875
-75.7734375,-88.06875,-12.2953125
-75.4875,-87.2109375,-11.7234375
-74.915625,-86.6390625,-11.7234375
-74.6296875,-86.6390625,-12.009375
-74.34375,-86.925,-12.58125
-74.34375,-87.7828125,-13.4390625
-74.6296875,-88.9265625,-14.296875
-75.2015625,-90.35625,-15.1546875
-76.3453125,-91.7859375,-15.440625
-77.4890625,-93.215625,-15.7265625
-79.2046875,-94.359375,-15.1546875
-81.20625,-95.2171875,-14.0109375
-82.921875,-95.7890625,-12.8671875
-84.9234375,-96.075,-11.1515625
-86.353125,-95.7890625,-9.43593749999999
-87.496875,-95.2171875,-7.72031250000001
-88.06875,-94.0734375,-6.00468749999999
-87.7828125,-92.64375,-4.86093749999999
-86.6390625,-91.2140625,-4.57499999999999
-84.9234375,-89.2125,-4.2890625
-82.921875,-87.496875,-4.575
-80.3484375,-85.78125,-5.4328125
-77.775,-84.3515625,-6.57656249999999
-75.7734375,-83.49375,-7.72031250000001
-74.34375,-82.921875,-8.578125
-74.0578125,-83.2078125,-9.15000000000001
-74.6296875,-84.065625,-9.43593749999999
-76.3453125,-85.4953125,-9.14999999999999
-78.91875,-87.2109375,-8.2921875
-82.0640625,-89.4984375,-7.434375
-85.209375,-91.7859375,-6.57656249999999
-88.06875,-93.5015625,-5.4328125
-90.0703125,-94.6453125,-4.575
-90.928125,-95.2171875,-4.2890625
-90.6421875,-94.6453125,-4.003125
-88.9265625,-93.5015625,-4.575
-86.0671875,-91.7859375,-5.71875
-82.6359375,-89.784375,-7.1484375
-79.2046875,-88.3546875,-9.14999999999999
-76.3453125,-87.7828125,-11.4375
-74.915625,-88.3546875,-13.4390625
-75.2015625,-90.928125,-15.7265625
-77.775,-95.503125,-17.728125
-82.35,-101.79375,-19.44375
-89.2125,-110.0859375,-20.8734375
-97.5046875,-119.521875,-22.0171875
-106.940625,-129.815625,-22.875
-116.3765625,-140.109375,-23.7328125
-125.5265625,-149.83125,-24.3046875
-133.5328125,-158.1234375,-24.590625
-139.8234375,-164.7,-24.8765625
-144.1125,-168.9890625,-24.8765625
-146.1140625,-170.990625,-24.8765625
-146.4,-170.990625,-24.590625
-144.684375,-168.703125,-24.01875
-141.5390625,-164.7,-23.1609375
-137.5359375,-159.2671875,-21.73125
-132.675,-152.4046875,-19.7296875
-127.528125,-144.9703125,-17.4421875
-122.0953125,-136.9640625,-14.86875
-116.3765625,-128.9578125,-12.58125
-110.371875,-120.665625,-10.29375
-104.3671875,-112.659375,-8.29218750000001
-98.3625,-104.9390625,-6.57656250000001
-92.071875,-98.3625,-6.29062499999999
-86.0671875,-92.9296875,-6.8625
-80.634375,-88.9265625,-8.2921875
-76.3453125,-86.925,-10.5796875
-72.9140625,-86.6390625,-13.725
-70.9125,-88.06875,-17.15625
-70.6265625,-91.2140625,-20.5875
-71.7703125,-95.503125,-23.7328125
-74.34375,-100.65,-26.30625
-78.0609375,-105.796875,-27.7359375
-81.778125,-110.0859375,-28.3078125
-85.78125,-113.23125,-27.45
-88.640625,-114.375,-25.734375
-90.6421875,-113.803125,-23.1609375
-91.2140625,-111.2296875,-20.015625
-90.0703125,-106.940625,-16.8703125
-87.7828125,-101.5078125,-13.725
-84.6375,-95.503125,-10.865625
-81.20625,-89.784375,-8.578125
-77.4890625,-84.9234375,-7.434375
-74.6296875,-81.20625,-6.57656249999999
-72.628125,-79.2046875,-6.57656250000001
-71.484375,-78.91875,-7.434375
-71.484375,-79.7765625,-8.2921875
-72.05625,-81.4921875,-9.43593749999999
-73.2,-83.7796875,-10.5796875
-74.34375,-85.78125,-11.4375
-74.915625,-87.496875,-12.58125
-74.915625,-88.3546875,-13.4390625
-73.771875,-88.3546875,-14.5828125
-71.7703125,-87.7828125,-16.0125
-69.196875,-86.353125,-17.15625
-66.3375,-84.6375,-18.3
-63.478125,-82.921875,-19.44375
-60.9046875,-81.4921875,-20.5875
-59.1890625,-80.634375,-21.4453125
-58.33125,-80.3484375,-22.0171875
-58.33125,-80.3484375,-22.0171875
-59.1890625,-80.634375,-21.4453125
-60.9046875,-81.20625,-20.3015625
-62.6203125,-81.4921875,-18.871875
-64.3359375,-81.20625,-16.8703125
-65.4796875,-80.3484375,-14.86875
-66.3375,-78.91875,-12.58125
-66.3375,-77.203125,-10.865625
-65.765625,-75.4875,-9.721875
-64.3359375,-73.4859375,-9.15000000000001
-62.90625,-72.05625,-9.15000000000001
-61.4765625,-71.1984375,-9.721875
-60.3328125,-70.9125,-10.5796875
-59.475,-71.484375,-12.009375
-59.1890625,-72.628125,-13.4390625
-59.1890625,-74.6296875,-15.440625
-59.7609375,-76.63125,-16.8703125
-60.61875,-78.91875,-18.3
-61.4765625,-80.9203125,-19.44375
-62.334375,-82.35,-20.015625
-63.1921875,-83.49375,-20.3015625
-63.478125,-83.7796875,-20.3015625
