LEFT,RIGHT,DIFF
1379.6484375,1762.51875,382.8703125
1371.6421875,1753.940625,382.2984375
1360.7765625,1743.075,382.2984375
1348.48125,1730.49375,382.0125
1335.0421875,1717.340625,382.2984375
1322.175,1704.4734375,382.2984375
1311.0234375,1693.89375,382.8703125
1302.4453125,1686.1734375,383.728125
1297.8703125,1682.45625,384.5859375
1297.2984375,1682.7421875,385.44375
1300.44375,1687.3171875,386.8734375
1307.30625,1695.0375,387.73125
1316.7421875,1705.6171875,388.875
1327.6078125,1717.6265625,390.01875
1339.0453125,1729.6359375,390.590625
1349.9109375,1741.359375,391.4484375
1359.6328125,1751.653125,392.0203125
1367.925,1760.5171875,392.5921875
1374.7875,1767.9515625,393.1640625
1380.50625,1774.2421875,393.7359375
1385.653125,1779.9609375,394.3078125
1390.8,1786.2515625,395.4515625
1396.8046875,1793.1140625,396.309375
1403.6671875,1801.40625,397.7390625
1411.6734375,1810.55625,398.8828125
1420.2515625,1820.85,400.5984375
1429.4015625,1831.4296875,402.028125
1437.9796875,1841.4375,403.4578125
1445.4140625,1850.3015625,404.8875
1451.1328125,1857.1640625,406.03125
1454.85,1861.7390625,406.8890625
1456.2796875,1863.740625,407.4609375
1455.99375,1863.4546875,407.4609375
1454.278125,1861.7390625,407.4609375
1451.990625,1859.165625,407.175
1449.9890625,1856.878125,406.8890625
1449.13125,1855.4484375,406.3171875
1449.9890625,1856.0203125,406.03125
1452.5625,1858.59375,406.03125
1457.1375,1862.8828125,405.7453125
1462.5703125,1868.8875,406.3171875
1468.2890625,1875.75,407.4609375
1473.4359375,1882.3265625,408.890625
1477.153125,1887.759375,410.60625
1478.0109375,1891.190625,413.1796875
1476.009375,1892.0484375,416.0390625
1470.8625,1889.7609375,418.8984375
1462.5703125,1884.9,422.3296875
1452.2765625,1877.7515625,425.475
1440.2671875,1869.1734375,428.90625
1428.2578125,1860.0234375,431.765625
1416.8203125,1851.4453125,434.625
1407.0984375,1844.0109375,436.9125
1399.6640625,1838.2921875,438.628125
1394.5171875,1834.575,440.0578125
1391.6578125,1832.5734375,440.915625
1390.5140625,1832.0015625,441.4875
1390.5140625,1832.0015625,441.4875
1390.8,1832.0015625,441.2015625
1390.5140625,1831.14375,440.6296875
1389.084375,1828.85625,439.771875
1386.225,1824.853125,438.628125
1381.9359375,1819.4203125,437.484375
1376.503125,1812.271875,435.76875
1369.9265625,1804.5515625,434.625
1363.35,1796.259375,432.909375
