LEFT,RIGHT,DIFF
54.9,27.45,-27.45
50.896875,24.590625,-26.30625
48.0375,22.5890625,-25.4484375
46.0359375,21.73125,-24.3046875
45.4640625,22.303125,-23.1609375
46.321875,23.7328125,-22.5890625
48.3234375,26.0203125,-22.303125
50.6109375,28.59375,-22.0171875
53.4703125,31.453125,-22.0171875
56.04375,33.740625,-22.303125
57.759375,34.884375,-22.875
58.6171875,35.45625,-23.1609375
58.903125,34.884375,-24.01875
58.33125,33.4546875,-24.8765625
57.4734375,32.025,-25.4484375
56.615625,30.309375,-26.30625
56.3296875,29.4515625,-26.878125
56.9015625,29.4515625,-27.45
58.6171875,30.5953125,-28.021875
61.190625,32.8828125,-28.3078125
64.621875,36.3140625,-28.3078125
68.3390625,40.03125,-28.3078125
72.3421875,43.7484375,-28.59375
75.7734375,47.1796875,-28.59375
77.775,49.4671875,-28.3078125
78.6328125,50.325,-28.3078125
77.775,49.753125,-28.021875
75.2015625,47.7515625,-27.45
71.484375,44.60625,-26.878125
66.909375,40.603125,-26.30625
62.0484375,36.6,-25.4484375
57.1875,32.8828125,-24.3046875
53.4703125,30.0234375,-23.446875
50.896875,28.3078125,-22.5890625
50.0390625,28.3078125,-21.73125
50.325,29.165625,-21.159375
52.040625,31.453125,-20.5875
54.9,34.0265625,-20.8734375
58.0453125,36.8859375,-21.159375
61.190625,39.1734375,-22.0171875
64.05,40.603125,-23.446875
66.0515625,40.603125,-25.4484375
67.1953125,39.7453125,-27.45
67.1953125,37.4578125,-29.7375
66.3375,34.3125,-32.025
64.9078125,30.5953125,-34.3125
63.1921875,26.878125,-36.3140625
61.4765625,23.7328125,-37.74375
60.046875,21.159375,-38.8875
58.903125,19.7296875,-39.1734375
58.33125,19.1578125,-39.1734375
58.0453125,19.7296875,-38.315625
58.0453125,20.8734375,-37.171875
58.33125,22.5890625,-35.7421875
58.33125,24.3046875,-34.0265625
58.33125,26.0203125,-32.3109375
58.33125,27.45,-30.88125
58.33125,28.59375,-29.7375
58.0453125,29.165625,-28.8796875
58.33125,30.0234375,-28.3078125
58.903125,30.5953125,-28.3078125
59.7609375,31.1671875,-28.59375
61.190625,32.025,-29.165625
63.1921875,32.8828125,-30.309375
65.4796875,33.740625,-31.7390625
67.7671875,34.3125,-33.4546875
69.4828125,34.5984375,-34.884375
70.340625,34.5984375,-35.7421875
70.340625,33.4546875,-36.8859375
69.4828125,31.7390625,-37.74375
67.1953125,29.4515625,-37.74375
64.05,26.5921875,-37.4578125
60.61875,24.01875,-36.6
56.9015625,22.0171875,-34.884375
54.0421875,20.5875,-33.4546875
51.7546875,20.3015625,-31.453125
50.896875,21.4453125,-29.4515625
51.7546875,24.01875,-27.7359375
53.75625,27.1640625,-26.5921875
56.9015625,31.1671875,-25.734375
60.9046875,35.1703125,-25.734375
64.9078125,38.315625,-26.5921875
68.625,40.603125,-28.021875
71.1984375,41.4609375,-29.7375
72.9140625,40.8890625,-32.025
73.2,38.8875,-34.3125
72.05625,36.028125,-36.028125
70.0546875,32.3109375,-37.74375
67.48125,29.165625,-38.315625
64.9078125,26.30625,-38.6015625
62.90625,25.1625,-37.74375
61.7625,25.4484375,-36.3140625
61.7625,27.45,-34.3125
63.1921875,30.88125,-32.3109375
65.4796875,35.7421875,-29.7375
68.625,41.175,-27.45
72.05625,46.89375,-25.1625
75.4875,51.7546875,-23.7328125
78.346875,55.7578125,-22.5890625
80.3484375,58.33125,-22.0171875
81.20625,59.475,-21.73125
80.9203125,58.903125,-22.0171875
80.0625,56.9015625,-23.1609375
78.346875,53.75625,-24.590625
76.059375,50.0390625,-26.0203125
73.4859375,45.4640625,-28.021875
70.9125,40.8890625,-30.0234375
68.625,36.3140625,-32.3109375
66.3375,32.025,-34.3125
64.05,28.021875,-36.028125
61.4765625,24.3046875,-37.171875
59.1890625,20.8734375,-38.315625
56.615625,17.728125,-38.8875
54.0421875,15.1546875,-38.8875
51.46875,13.4390625,-38.0296875
49.18125,12.2953125,-36.8859375
47.1796875,12.009375,-35.1703125
46.0359375,12.8671875,-33.16875
45.75,14.5828125,-31.1671875
46.6078125,17.4421875,-29.165625
48.3234375,20.8734375,-27.45
51.1828125,24.590625,-26.5921875
54.328125,28.3078125,-26.0203125
57.759375,31.7390625,-26.0203125
61.190625,34.5984375,-26.5921875
64.3359375,36.6,-27.7359375
66.6234375,37.4578125,-29.165625
67.7671875,36.8859375,-30.88125
68.3390625,35.7421875,-32.596875
68.053125,33.740625,-34.3125
66.909375,31.1671875,-35.7421875
65.4796875,28.59375,-36.8859375
64.05,26.30625,-37.74375
62.6203125,24.01875,-38.6015625
61.4765625,22.5890625,-38.8875
60.9046875,21.4453125,-39.459375
60.61875,20.8734375,-39.7453125
60.61875,20.5875,-40.03125
60.61875,20.5875,-40.03125
60.61875,20.3015625,-40.3171875
60.046875,19.7296875,-40.3171875
58.6171875,18.5859375,-40.03125
56.3296875,16.584375,-39.7453125
53.184375,14.0109375,-39.1734375
48.8953125,10.29375,-38.6015625
43.1765625,5.71875,-37.4578125
36.8859375,0.571875,-36.3140625
29.7375,-5.4328125,-35.1703125
22.303125,-12.009375,-34.3125
14.296875,-19.1578125,-33.4546875
6.5765625,-26.30625,-32.8828125
-0.8578125,-33.16875,-32.3109375
-7.7203125,-39.7453125,-32.025
-13.725,-45.4640625,-31.7390625
-18.871875,-50.0390625,-31.1671875
-22.5890625,-53.184375,-30.5953125
-24.8765625,-54.9,-30.0234375
-25.734375,-54.9,-29.165625
-25.1625,-53.4703125,-28.3078125
-23.446875,-50.325,-26.878125
-20.3015625,-46.0359375,-25.734375
-16.2984375,-40.8890625,-24.590625
-11.7234375,-35.1703125,-23.446875
-6.5765625,-29.165625,-22.5890625
-1.14375,-23.446875,-22.303125
3.7171875,-17.728125,-21.4453125
8.8640625,-12.8671875,-21.73125
13.4390625,-8.2921875,-21.73125
17.4421875,-4.575,-22.0171875
21.159375,-1.4296875,-22.5890625
24.3046875,1.14375,-23.1609375
26.878125,3.7171875,-23.1609375
29.165625,5.71875,-23.446875
30.88125,7.7203125,-23.1609375
32.3109375,9.4359375,-22.875
33.4546875,11.1515625,-22.303125
34.3125,12.2953125,-22.0171875
34.884375,13.4390625,-21.4453125
35.7421875,14.296875,-21.4453125
36.3140625,14.86875,-21.4453125
36.8859375,15.1546875,-21.73125
37.74375,15.440625,-22.303125
38.6015625,15.7265625,-22.875
39.7453125,15.7265625,-24.01875
41.175,16.0125,-25.1625
42.890625,16.2984375,-26.5921875
44.3203125,16.584375,-27.7359375
46.0359375,16.8703125,-29.165625
47.465625,17.15625,-30.309375
48.609375,17.15625,-31.453125
49.18125,17.15625,-32.025
49.4671875,16.584375,-32.8828125
49.18125,15.7265625,-33.4546875
48.3234375,14.5828125,-33.740625
47.465625,13.153125,-34.3125
46.6078125,12.009375,-34.5984375
