LEFT,RIGHT,DIFF
8.00625,-50.896875,-58.903125
7.1484375,-50.6109375,-57.759375
6.8625,-49.753125,-56.615625
7.434375,-48.609375,-56.04375
8.2921875,-47.1796875,-55.471875
10.0078125,-45.4640625,-55.471875
12.2953125,-44.034375,-56.3296875
14.86875,-42.31875,-57.1875
17.728125,-40.8890625,-58.6171875
20.3015625,-39.7453125,-60.046875
22.5890625,-38.8875,-61.4765625
24.3046875,-38.6015625,-62.90625
24.8765625,-38.6015625,-63.478125
24.590625,-38.8875,-63.478125
23.1609375,-39.1734375,-62.334375
20.8734375,-39.7453125,-60.61875
18.0140625,-40.03125,-58.0453125
14.86875,-39.7453125,-54.6140625
11.7234375,-39.459375,-51.1828125
9.15,-38.8875,-48.0375
7.7203125,-38.0296875,-45.75
7.1484375,-36.8859375,-44.034375
7.434375,-36.3140625,-43.7484375
8.8640625,-36.028125,-44.8921875
10.865625,-36.028125,-46.89375
13.153125,-36.8859375,-50.0390625
15.1546875,-38.315625,-53.4703125
17.15625,-40.3171875,-57.4734375
18.3,-42.6046875,-60.9046875
18.5859375,-44.8921875,-63.478125
18.3,-46.89375,-65.19375
17.4421875,-48.0375,-65.4796875
16.0125,-48.609375,-64.621875
14.86875,-48.609375,-63.478125
13.725,-47.465625,-61.190625
12.8671875,-46.321875,-59.1890625
12.2953125,-44.60625,-56.9015625
12.58125,-43.4625,-56.04375
12.58125,-42.6046875,-55.1859375
13.153125,-42.6046875,-55.7578125
13.153125,-44.034375,-57.1875
12.8671875,-46.0359375,-58.903125
12.009375,-49.18125,-61.190625
10.5796875,-53.184375,-63.7640625
8.2921875,-57.1875,-65.4796875
6.0046875,-61.190625,-67.1953125
3.43125,-64.9078125,-68.3390625
1.14375,-67.7671875,-68.9109375
-0.571875,-69.4828125,-68.9109375
-1.715625,-70.340625,-68.625
-2.0015625,-70.0546875,-68.053125
-1.14375,-68.9109375,-67.7671875
0.0,-66.909375,-66.909375
2.5734375,-64.621875,-67.1953125
5.4328125,-61.7625,-67.1953125
8.578125,-58.903125,-67.48125
11.4375,-56.04375,-67.48125
14.0109375,-53.184375,-67.1953125
16.0125,-50.6109375,-66.6234375
17.15625,-48.609375,-65.765625
17.4421875,-46.89375,-64.3359375
