LEFT,RIGHT,DIFF
111.515625,84.6375,-26.878125
112.9453125,85.4953125,-27.45
114.6609375,87.2109375,-27.45
116.6625,88.640625,-28.021875
118.6640625,90.6421875,-28.021875
120.09375,92.3578125,-27.7359375
120.665625,93.7875,-26.878125
120.3796875,94.93125,-25.4484375
119.2359375,95.2171875,-24.01875
117.5203125,95.2171875,-22.303125
114.946875,94.6453125,-20.3015625
111.8015625,93.5015625,-18.3
108.9421875,92.3578125,-16.584375
106.36875,90.928125,-15.440625
104.3671875,89.784375,-14.5828125
103.2234375,88.9265625,-14.296875
102.6515625,88.3546875,-14.296875
102.9375,88.3546875,-14.5828125
104.08125,88.3546875,-15.7265625
105.225,88.9265625,-16.2984375
106.36875,89.2125,-17.15625
107.5125,89.784375,-17.728125
108.3703125,89.784375,-18.5859375
108.3703125,89.4984375,-18.871875
107.7984375,88.9265625,-18.871875
106.940625,88.06875,-18.871875
105.796875,86.6390625,-19.1578125
104.3671875,85.209375,-19.1578125
102.9375,83.7796875,-19.1578125
102.0796875,82.35,-19.7296875
101.221875,80.9203125,-20.3015625
101.221875,80.0625,-21.159375
101.5078125,79.490625,-22.0171875
102.365625,79.490625,-22.875
103.509375,79.7765625,-23.7328125
104.653125,80.3484375,-24.3046875
106.36875,81.4921875,-24.8765625
108.084375,82.921875,-25.1625
109.8,84.3515625,-25.4484375
111.515625,86.0671875,-25.4484375
113.23125,87.7828125,-25.4484375
114.946875,89.4984375,-25.4484375
116.3765625,90.928125,-25.4484375
118.0921875,92.3578125,-25.734375
119.521875,93.5015625,-26.0203125
120.665625,94.359375,-26.30625
121.809375,95.2171875,-26.5921875
122.6671875,95.7890625,-26.878125
123.525,96.075,-27.45
123.8109375,96.3609375,-27.45
124.096875,96.646875,-27.45
124.096875,96.9328125,-27.1640625
123.8109375,97.5046875,-26.30625
123.2390625,98.0765625,-25.1625
122.38125,98.6484375,-23.7328125
121.2375,99.50625,-21.73125
119.8078125,100.078125,-19.7296875
118.0921875,100.3640625,-17.728125
116.090625,100.3640625,-15.7265625
113.803125,100.3640625,-13.4390625
111.2296875,99.7921875,-11.4375
108.9421875,98.934375,-10.0078125
106.940625,97.790625,-9.14999999999999
105.225,96.646875,-8.578125
104.3671875,95.503125,-8.8640625
104.3671875,94.6453125,-9.721875
104.9390625,94.0734375,-10.865625
106.36875,94.0734375,-12.2953125
108.65625,94.359375,-14.296875
111.2296875,95.2171875,-16.0125
113.803125,96.3609375,-17.4421875
116.090625,97.5046875,-18.5859375
117.80625,98.934375,-18.871875
118.378125,100.078125,-18.3
118.378125,100.9359375,-17.4421875
116.9484375,101.221875,-15.7265625
114.6609375,101.221875,-13.4390625
111.8015625,100.3640625,-11.4375
108.65625,99.2203125,-9.43593749999999
105.5109375,97.790625,-7.72031249999999
102.6515625,96.075,-6.57656249999999
100.65,94.359375,-6.29062500000001
99.7921875,92.9296875,-6.8625
99.7921875,91.5,-8.2921875
100.9359375,90.928125,-10.0078125
102.9375,90.928125,-12.009375
105.796875,91.2140625,-14.5828125
108.65625,92.071875,-16.584375
111.515625,93.5015625,-18.0140625
114.0890625,94.93125,-19.1578125
115.8046875,96.3609375,-19.44375
116.9484375,97.21875,-19.7296875
117.234375,97.790625,-19.44375
116.9484375,98.0765625,-18.871875
115.8046875,97.5046875,-18.3
114.6609375,96.3609375,-18.3
113.803125,95.2171875,-18.5859375
112.9453125,93.7875,-19.1578125
112.659375,92.64375,-20.015625
112.9453125,91.7859375,-21.159375
113.803125,91.7859375,-22.0171875
115.2328125,92.3578125,-22.875
116.9484375,93.7875,-23.1609375
118.6640625,95.503125,-23.1609375
120.09375,97.790625,-22.303125
