LEFT,RIGHT,DIFF
86.6390625,39.1734375,-47.465625
87.496875,40.03125,-47.465625
88.3546875,41.175,-47.1796875
88.9265625,42.0328125,-46.89375
88.9265625,42.6046875,-46.321875
88.3546875,42.6046875,-45.75
87.496875,41.746875,-45.75
86.0671875,40.3171875,-45.75
84.3515625,38.6015625,-45.75
82.921875,36.6,-46.321875
81.778125,34.884375,-46.89375
81.20625,33.740625,-47.465625
81.778125,33.16875,-48.609375
82.921875,34.0265625,-48.8953125
84.9234375,35.45625,-49.4671875
87.496875,38.315625,-49.18125
90.0703125,41.746875,-48.3234375
92.64375,45.4640625,-47.1796875
94.6453125,49.4671875,-45.178125
96.075,53.184375,-42.890625
96.646875,56.3296875,-40.3171875
96.3609375,58.903125,-37.4578125
95.503125,60.3328125,-35.1703125
94.0734375,60.61875,-33.4546875
92.3578125,60.3328125,-32.025
90.928125,59.475,-31.453125
89.784375,58.0453125,-31.7390625
89.2125,56.615625,-32.596875
89.4984375,55.471875,-34.0265625
90.6421875,54.6140625,-36.028125
92.3578125,54.6140625,-37.74375
94.6453125,54.9,-39.7453125
97.21875,55.7578125,-41.4609375
100.078125,57.1875,-42.890625
102.6515625,58.903125,-43.7484375
104.653125,60.61875,-44.034375
106.0828125,61.7625,-44.3203125
106.6546875,62.6203125,-44.034375
106.36875,62.334375,-44.034375
105.225,61.4765625,-43.7484375
103.509375,59.7609375,-43.7484375
101.221875,57.4734375,-43.7484375
98.934375,54.6140625,-44.3203125
96.646875,51.7546875,-44.8921875
94.93125,48.8953125,-46.0359375
94.0734375,46.6078125,-47.465625
93.5015625,45.178125,-48.3234375
93.7875,44.3203125,-49.4671875
94.6453125,44.3203125,-50.325
96.075,44.8921875,-51.1828125
97.5046875,46.0359375,-51.46875
98.934375,47.1796875,-51.7546875
100.078125,48.609375,-51.46875
100.65,49.4671875,-51.1828125
100.65,49.753125,-50.896875
99.7921875,49.753125,-50.0390625
98.3625,48.8953125,-49.4671875
96.9328125,47.7515625,-49.18125
94.93125,46.321875,-48.609375
93.215625,44.8921875,-48.3234375
91.7859375,44.034375,-47.7515625
90.928125,43.4625,-47.465625
90.6421875,43.7484375,-46.89375
90.928125,44.60625,-46.321875
91.5,46.0359375,-45.4640625
92.3578125,47.7515625,-44.60625
93.215625,49.753125,-43.4625
94.0734375,51.7546875,-42.31875
94.359375,53.4703125,-40.8890625
94.359375,54.6140625,-39.7453125
94.0734375,55.471875,-38.6015625
93.5015625,55.7578125,-37.74375
92.64375,55.471875,-37.171875
92.071875,55.1859375,-36.8859375
91.7859375,54.9,-36.8859375
91.7859375,54.328125,-37.4578125
92.071875,54.328125,-37.74375
92.9296875,54.6140625,-38.315625
94.359375,55.1859375,-39.1734375
96.075,56.3296875,-39.7453125
98.0765625,57.759375,-40.3171875
100.078125,59.475,-40.603125
102.0796875,61.190625,-40.8890625
104.08125,63.1921875,-40.8890625
106.36875,65.19375,-41.175
108.65625,67.1953125,-41.4609375
110.6578125,69.196875,-41.4609375
112.9453125,71.1984375,-41.746875
